shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10012,-12.353262,130.883025,70018,3.193
10012,-12.353262,130.883155,70019,3.208
10012,-12.353260,130.883280,70020,3.221
10012,-12.353259,130.883577,70021,3.253
10012,-12.353256,130.883893,70022,3.288
10012,-12.353255,130.883913,70023,3.290
10012,-12.353258,130.884267,70024,3.329
10012,-12.353257,130.884406,70025,3.344
10012,-12.353255,130.884546,70026,3.359
10012,-12.353254,130.884833,70027,3.390
10012,-12.353251,130.884996,70028,3.408
10012,-12.353250,130.885096,70029,3.419
10012,-12.353215,130.885186,70030,3.429
10012,-12.353142,130.885269,70031,3.441
10012,-12.353067,130.885323,70032,3.451
10012,-12.353050,130.885393,70033,3.459
10012,-12.353072,130.885462,70034,3.467
10012,-12.353118,130.885495,70035,3.473
10012,-12.353192,130.885504,70036,3.482
10012,-12.353246,130.885481,70037,3.488
10012,-12.353250,130.885096,70038,3.530
10012,-12.353251,130.884996,70039,3.541
10012,-12.353254,130.884833,70040,3.558
10012,-12.353255,130.884546,70041,3.590
10012,-12.353257,130.884406,70042,3.605
10012,-12.353258,130.884267,70043,3.620
10012,-12.353256,130.884070,70044,3.642
10012,-12.353256,130.884070,80001,3.642
10012,-12.353255,130.883913,80002,3.659
10012,-12.353256,130.883893,80003,3.661
10012,-12.353259,130.883577,80004,3.695
10012,-12.353260,130.883280,80005,3.728
10012,-12.353262,130.883155,80006,3.741
10012,-12.353262,130.883025,80007,3.755
10012,-12.353263,130.882980,80008,3.760
10012,-12.353698,130.882994,80009,3.808
10012,-12.353745,130.882982,80010,3.814
10012,-12.353916,130.882984,80011,3.833
10012,-12.353995,130.882984,80012,3.841
10012,-12.353995,130.882984,90001,3.841
10012,-12.354236,130.882984,90002,3.868
10012,-12.354342,130.882983,90003,3.880
10012,-12.354514,130.882986,90004,3.899
10012,-12.354998,130.882990,90005,3.952
10012,-12.355607,130.882991,90006,4.020
10012,-12.355852,130.882989,90007,4.047
10012,-12.356050,130.882992,90008,4.069
10012,-12.356160,130.882994,90009,4.081
10012,-12.356377,130.882996,90010,4.105
10012,-12.356377,130.882996,100001,4.105
10012,-12.356498,130.882997,100002,4.118
10012,-12.356610,130.882997,100003,4.131
10012,-12.357016,130.882994,100004,4.176
10012,-12.357491,130.883006,100005,4.228
10012,-12.358073,130.883006,100006,4.293
10012,-12.358521,130.883005,100007,4.342
10012,-12.358758,130.883008,100008,4.368
10012,-12.358967,130.883011,100009,4.391
10012,-12.358998,130.883010,100010,4.395
10012,-12.359038,130.883012,100011,4.399
10012,-12.359125,130.883014,100012,4.409
10012,-12.359218,130.883019,100013,4.419
10012,-12.359221,130.882944,100014,4.427
10012,-12.359226,130.882870,100015,4.435
10012,-12.359330,130.881154,100016,4.622
10012,-12.359388,130.880216,100017,4.725
10012,-12.359422,130.880218,100018,4.728
10012,-12.359480,130.880221,100019,4.735
10012,-12.360415,130.880279,100020,4.838
10012,-12.360415,130.880279,110001,4.838
10012,-12.360906,130.880310,110002,4.893
10012,-12.361663,130.880353,110003,4.977
10012,-12.361683,130.880064,110004,5.008
10012,-12.361685,130.880021,110005,5.013
10012,-12.361706,130.879635,110006,5.055
10012,-12.361706,130.879635,120001,5.055
10012,-12.361709,130.879588,120002,5.060
10012,-12.361823,130.877719,120003,5.264
10012,-12.361833,130.877646,120004,5.272
10012,-12.361852,130.877554,120005,5.282
10012,-12.361893,130.877403,120006,5.299
10012,-12.361931,130.877301,120007,5.311
10012,-12.361982,130.877185,120008,5.325
10012,-12.362048,130.877053,120009,5.341
10012,-12.362118,130.876941,120010,5.355
10012,-12.362178,130.876864,120011,5.366
10012,-12.362178,130.876864,130001,5.366
10012,-12.362254,130.876768,130002,5.380
10012,-12.362427,130.876551,130003,5.410
10012,-12.362735,130.876215,130004,5.460
10012,-12.362928,130.876054,130005,5.487
10012,-12.363123,130.875956,130006,5.512
10012,-12.363405,130.875853,130007,5.545
